id,original_title,title,original_language,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,genre_names,profit
713166,Zombies of Eureka,Zombies of Eureka,en,2008-07-28,0.6,0,0.0,0,0,45,Released,False,"Horror, Music",0
7181,Dusk,Dusk,en,2008-01-01,1.096,0,0.0,0,0,0,Released,False,Horror,0
25756,Clownhouse,Clownhouse,en,1989-01-01,11.451,142,6.2,200000,0,81,Released,False,Horror,-200000
364767,Follow That Skirt,Follow That Skirt,en,1965-01-01,0.6,1,6.0,0,0,27,Released,False,Horror,0
722571,Beneath Glass Trees,Beneath Glass Trees,en,2014-01-27,1.194,0,0.0,0,0,60,Released,False,"Fantasy, Horror, Music",0
640173,15 Things You Didn't Know About Bigfoot,15 Things You Didn't Know About Bigfoot,en,2019-10-25,1.293,7,5.9,0,0,84,Released,False,"Comedy, Crime, Horror, Mystery",0
124635,Death Magic,Death Magic,en,1992-10-14,0.83,0,0.0,0,0,93,Released,False,"Horror, Thriller",0
16266,2012 Doomsday,2012 Doomsday,en,2008-02-12,14.236,102,3.2,250000,0,85,Released,False,"Action, Adventure, Fantasy, Horror, Science Fiction, Thriller",-250000
329702,Swamp!,Swamp!,fr,1999-10-13,0.6,0,0.0,0,0,80,Released,False,"Comedy, Horror",0
386878,Behind Closed Doors,Behind Closed Doors,en,2009-06-03,0.6,3,4.3,0,0,6,Released,False,"Animation, Horror",0
303696,In Session,In Session,en,2012-09-01,0.6,0,0.0,0,0,13,Released,False,"Drama, Horror, Thriller",0
405959,Infame,Infame,es,2011-10-23,0.6,0,0.0,0,0,8,Released,False,"Drama, Horror",0
230077,Later,Later,en,2010-12-31,0.6,3,6.3,0,0,17,Released,False,"Drama, Fantasy, Horror",0
364379,Cat Sick Blues,Cat Sick Blues,en,2016-09-15,3.177,57,5.9,0,0,94,Released,False,"Comedy, Horror",0
149438,The Contraption,The Contraption,en,1977-01-01,0.607,5,8.0,0,0,7,Released,False,Horror,0
732475,Haunted Histories: Zombies,Haunted Histories: Zombies,en,1998-10-31,0.6,0,0.0,0,0,0,Released,False,"Documentary, History, Horror",0
49830,Contagion,Bio Slime,en,2010-03-29,1.596,7,4.0,50000,0,87,Released,False,"Action, Horror, Science Fiction, Thriller",-50000
584147,Apparitions,Apparitions,en,2021-12-11,0.742,1,4.0,0,0,82,Released,False,Horror,0
45577,Three Cases of Murder,Three Cases of Murder,en,1955-03-15,1.673,19,5.4,0,0,99,Released,False,"Horror, Mystery",0
68572,Possessed,Possessed,en,2000-10-22,5.961,28,5.6,0,0,89,Released,False,Horror,0
28942,The Brood,The Brood,en,1979-05-25,12.154,544,6.7,1355000,5000000,92,Released,False,"Horror, Science Fiction",3645000
835294,Keramat 2: Caruban Larang,Sacred 2,id,2022-11-24,0.82,0,0.0,0,0,0,Post Production,False,Horror,0
34089,The Hand,The Hand,en,1960-10-01,1.689,10,5.0,0,0,61,Released,False,"Crime, Horror",0
10605,Vampires: Los Muertos,Vampires: Los Muertos,en,2002-09-23,16.191,179,5.4,0,0,93,Released,False,"Action, Horror, Thriller",0
789375,Silent Lake,Silent Lake,en,2013-06-28,0.6,0,0.0,0,0,90,Released,False,Horror,0
726521,Teething,Teething,en,2020-08-27,0.711,3,5.0,0,0,9,Released,False,Horror,0
300615,La Boca Del Léon,The Lion's Mouth,es,2013-10-13,0.6,6,4.8,0,0,5,Released,False,"Horror, Mystery",0
728291,Reflexo,Reflexo,pt,2018-12-01,0.6,1,7.0,0,0,2,Released,False,Horror,0
848058,Cerdita,Piggy,es,2022-10-07,43.78,3,7.0,2400000,0,100,Released,False,"Drama, Horror, Thriller",-2400000
480948,American Gothic,American Gothic,en,2017-09-22,3.437,15,4.9,0,0,77,Released,False,"Horror, Thriller",0
503706,The Haunting of Sharon Tate,The Haunting of Sharon Tate,en,2019-04-05,13.581,167,4.6,0,68904,90,Released,False,"Horror, Thriller",68904
140506,Torturous,Torturous,en,2014-02-20,0.6,1,8.0,0,0,7,Released,False,"Comedy, Horror",0
547088,Special Day,Special Day,en,2018-08-27,0.6,3,7.3,0,0,7,Released,False,Horror,0
195761,Foxed!,Foxed!,en,2013-06-28,0.79,6,7.2,0,0,4,Released,False,"Adventure, Animation, Drama, Horror",0
290789,Breaking at the Edge,Breaking at the Edge,en,2013-01-01,6.768,42,4.8,0,0,85,Released,False,"Horror, Thriller",0
